MaPhim,TenPhim,TenPhimHienThi,TenGoc,TenPhimTiengAnh,TenPhimHienThiCuoi,TomTatNoiDung,TomTatNoiDungTiengAnh,CauGioiThieu,TrangThai,PhimNguoiLon,NgonNguGoc,TrangChu,MaIMDb,MaIMDbAPI,DuongDanPoster,DuongDanAnhNen,CanBoSungTenTiengAnh,DaBoSungTuAPI,NguonBoSung
254375,Hector and the Search for Happiness,Hector and the Search for Happiness,Hector and the Search for Happiness,,Hector and the Search for Happiness,"Hector is a quirky psychiatrist who has become increasingly tired of his humdrum life. As he tells his girlfriend, Clara, he feels like a fraud: he hasn’t really tasted life, and yet he’s offering advice to patients who are just not getting any happier. So Hector decides to break out of his deluded and routine driven life. Armed with buckets of courage and child-like curiosity, he embarks on a global quest in hopes of uncovering the elusive secret formula for true happiness. And so begins a larger than life adventure with riotously funny results.",,Sometimes to find yourself you need to get a little lost.,Released,False,en,,tt1626146,,/lymRg46xAt6s9ApWa9MBcgnzXAS.jpg,/vujKrqkydYxLuFvdGjA5bDicupV.jpg,False,False,
44865,The Grandmaster,The Grandmaster,一代宗師,,The Grandmaster,"Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. After the Second Sino-Japanese War, Ip Man moves to Hong Kong and struggles to provide for his family. In the mean time, Gong Er chooses the path of vengeance after her father was killed by Ma San.",,"In Martial Arts there is no right or wrong, only the last man standing.",Released,False,cn,,tt1462900,,/ydBVVIscL6TsX5hYztA5YpBCwJ3.jpg,/l3z4trFHdi3NUSKdSoHnSBRNupF.jpg,False,False,
11344,A Bittersweet Life,A Bittersweet Life,달콤한 인생,,A Bittersweet Life,"Kim Sun-woo is an enforcer and manager for a hotel owned by a cold, calculative crime boss, Kang who assigns Sun-Woo to a simple errand while he is away on a business trip; to shadow his young mistress, Heesoo, for fear that she may be cheating on him with a younger man with the mandate that he must kill them both if he discovers their affair.",,"When doing right goes very, very wrong.",Released,False,ko,http://www.d-o-e-s.com/collection/bittersweet/index0.html,tt0456912,,/iqUGAIQqHMMscatykpR6hVBxezA.jpg,/tlhYcmoTRzXsFUwL0axRAInmXjF.jpg,False,False,
480042,Escape Plan: The Extractors,Escape Plan: The Extractors,Escape Plan: The Extractors,,Escape Plan: The Extractors,"After security expert Ray Breslin is hired to rescue the kidnapped daughter of a Hong Kong tech mogul from a formidable Latvian prison, Breslin's girlfriend is also captured. Now he and his team must pull off a deadly rescue mission to confront their sadistic foe and save the hostages before time runs out.",,This time it’s personal,Released,False,en,https://www.lionsgate.com/movies/escape-plan-the-extractors,tt6772804,,/r15SUgzjL8bablcdEkHk9T7TSRl.jpg,/ygWKYTu7OnZKF9H5NsgjL9iURGV.jpg,False,False,
457332,Hidden Strike,Hidden Strike,Hidden Strike,,Hidden Strike,Two elite soldiers must escort civilians through a gauntlet of gunfire and explosions.,,There is a plan. They just don't know what it is.,Released,False,en,https://www.xyzfilms.com/hidden-strike,tt6879446,,/zsbolOkw8RhTU4DKOrpf4M7KCmi.jpg,/dWvDlTkt9VEGCDww6IzNRgm8fRQ.jpg,False,False,
12289,Red Cliff,Red Cliff,赤壁,,Red Cliff,"In 208 A.D., in the final days of the Han Dynasty, shrewd Prime Minster Cao convinced the fickle Emperor Han the only way to unite all of China was to declare war on the kingdoms of Xu in the west and East Wu in the south. Thus began a military campaign of unprecedented scale. Left with no other hope for survival, the kingdoms of Xu and East Wu formed an unlikely alliance.",,The future will be decided.,Released,False,zh,http://www.redclifffilm.com,tt0425637,,/eEelFTjUYJJDlwqd53VfSA8xMfj.jpg,/xDjsD6EFWOnjNFPCjTTUB3Pauha.jpg,False,False,
98567,Chinese Zodiac,Chinese Zodiac,十二生肖,,Chinese Zodiac,"Asian Hawk leads a mercenary team to recover several lost artifacts from the Old Summer Palace, the bronze heads of the 12 Chinese Zodiac animals which were sacked by the French and British armies from the imperial Summer Palace in Beijing in 1860. Assisted by a Chinese student & a Parisian lady, Hawk stops at nothing to accomplish the mission.",,Twelve heads. Five continents. One man.,Released,False,cn,http://hbpictures.ayomovie.com/12shengxiao//,tt1424310,,/1hTpptSqKEAXnLVDPoLL1tyFojd.jpg,/reD2QakBSyXwDIgrvKkVqUeen0n.jpg,False,False,
76758,The Flowers of War,The Flowers of War,金陵十三釵,,The Flowers of War,"A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety.",,Fighting for freedom.,Released,False,zh,http://www.theflowersofwarmovie.com/,tt1410063,,/pYltmnA1VDWl45EcVQoJYPsTpLW.jpg,/q8Ea7BIux9GevWePejuz8a1zHx8.jpg,False,False,
523777,Next Gen,Next Gen,Next Gen,,Next Gen,"A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman.",,Friendship is the ultimate upgrade,Released,False,en,https://www.netflix.com/title/80988892,tt7133686,,/hUDDo5MPWM6rc6COQYhaoRNqvhE.jpg,/4tO1A5g5ZOXVB22g2Wovcm39dYU.jpg,False,False,
3603,Black Sheep,Black Sheep,Black Sheep,,Black Sheep,A genetic engineering experiment gone horribly awry turns a large flock of docile sheep into unrelenting killing machines.,,"There are over 40 million sheep in New Zealand, and they're pissed off!",Released,False,en,http://www.blacksheep-themovie.com/,tt0779982,,/b6Spp82Tg8rv4YUSHGWFqFbgp0q.jpg,/u8KAS5uqWYKWbfyIp9jioFTvfUy.jpg,False,False,
1989,My Blueberry Nights,My Blueberry Nights,My Blueberry Nights,,My Blueberry Nights,"Elizabeth has just been through a particularly nasty breakup, and now she's ready to leave her friends and memories behind as she chases her dreams across the country. In order to support herself on her journey, Elizabeth picks up a series of waitress jobs along the way. As Elizabeth crosses paths with a series of lost souls whose yearnings are even greater than her own, their emotional turmoil ultimately helps her gain a greater understanding of her own problems...",,How do you say goodbye to someone you can't imagine living without?,Released,False,en,,tt0765120,,/8OWixgz7s3AO3n2eNJhdKlnPOIR.jpg,/eBTuwZ3UNvWoxi8D87kS8vGUuG8.jpg,False,False,
575604,The Call,The Call,콜,,The Call,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.",,A call from a serial killer... She'll begin to hunt your past.,Released,False,ko,https://www.netflix.com/title/81342505,tt10530176,,/oz8hvZHg7tIdGwh0ErPRhobJKPR.jpg,/iDw6J49rf7Xlu9QZBWpvmrMqSzI.jpg,False,False,
1494,Curse of the Golden Flower,Curse of the Golden Flower,滿城盡帶黃金甲,,Curse of the Golden Flower,"During China's Tang dynasty the emperor has taken the princess of a neighboring province as his wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself.",,Unspeakable secrets are hidden within the Forbidden City.,Released,False,zh,http://ent.sina.com.cn/hjj/,tt0473444,,/cuX11HZlkNFHCieu8UyWmMeMXkg.jpg,/sVakfYqdbBglnIOjOAV6fGkaXfw.jpg,False,False,
15067,"The Good, the Bad, the Weird","The Good, the Bad, the Weird","좋은 놈, 나쁜 놈, 이상한 놈",,"The Good, the Bad, the Weird","The story of three Korean outlaws in 1930s Manchuria and their dealings with the Japanese army and Chinese and Russian bandits. The Good (a bounty hunter), the Bad (a hitman), and the Weird (a thief) battle the army and the bandits in a race to use a treasure map to uncover the riches of legend.",,One map. Three villains. Winner takes all.,Released,False,ko,,tt0901487,,/eQhB3cUhQ4irJP8z57x7nZPVuzB.jpg,/rRdT8NJKwfibmEKgmTo0lHDRFZG.jpg,False,False,
11636,New Police Story,New Police Story,新警察故事,,New Police Story,"Sent into a drunken tailspin when his entire unit is killed by a gang of thrill-seeking punks, disgraced Hong Kong police inspector Wing needs help from his new rookie partner, with a troubled past of his own, to climb out of the bottle and track down the gang and its ruthless leader.",,Failures and suffering make a real hero.,Released,False,cn,,tt0386005,,/ece4Ivxpt6GKVQaed9xQjKrUwun.jpg,/hbPNqH59r8cTSbm9I4EMzFs1Pk.jpg,False,False,
245842,The King's Daughter,The King's Daughter,The King's Daughter,,The King's Daughter,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",,What on Earth can hold more power than a king?,Released,False,en,https://thekingsdaughtermovie.com/,tt2328678,,/zwRf07ECh7nV7xlahKzN5wFYhGx.jpg,/o3U4733mGsmieBeqs4Sw2ze6n53.jpg,False,False,
42194,Tekken,Tekken,Tekken,,Tekken,"In the year of 2039, after World Wars destroy much of the civilization as we know it, territories are no longer run by governments, but by corporations; the mightiest of which is the Mishima Zaibatsu. In order to placate the seething masses of this dystopia, Mishima sponsors Tekken, a tournament in which fighters battle until only one is left standing.",,Survival is no game,Released,False,en,,tt0411951,,/1xO2LirDZstkqZic1FwfK6GJIHH.jpg,/rbB7g8YBFMLKtmwB8QEvVlKh5Yh.jpg,False,False,
18438,Castaway on the Moon,Castaway on the Moon,김씨 표류기,,Castaway on the Moon,"Mr. Kim is jobless, lost in debt and has been dumped by his girlfriend. He decides to end it all by jumping into the Han River - only to find himself washed up on a small, mid-river island. He soon abandons thoughts of suicide or rescue and begins a new life as a castaway. His antics catch the attention of a young woman whose apartment overlooks the river. Her discovery changes both their lives.",,"Once in a life time, There comes a moment that you live in HOPE.",Released,False,ko,,tt1499666,,/gGzovvmOEyNVUu4WEHtw9wfDsqI.jpg,/t9T6jKk2TqDqzpWTCMSeMNjYcX7.jpg,False,False,
270774,Skiptrace,Skiptrace,Skiptrace,,Skiptrace,A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.,,Ready. Set. Panic.,Released,False,en,,tt2238032,,/yepKO0bbXL2FSUoq93c7lkp0op1.jpg,/tAl5nVeZe7Glx0LN93SxQDphl7Z.jpg,False,False,
4588,"Lust, Caution","Lust, Caution",色‧戒,,"Lust, Caution","During World War II, a secret agent must seduce then assassinate an official who works for the Japanese puppet government in Shanghai. Her mission becomes clouded when she finds herself falling in love with the man she is assigned to kill.",,"To kill the enemy, she would have to capture his heart... and break her own.",Released,False,zh,http://www.bvi.com.tw/movies/lust_caution/main.html,tt0808357,,/8tMKLDN3zOdwvUiy9OeqBGdbvEY.jpg,/dC2Hsu9twTYJIK1UWvgKsQKJhOP.jpg,False,False,
2440,Joint Security Area,Joint Security Area,공동경비구역 JSA,,Joint Security Area,"Two North Korean soldiers are killed in the border area between North and South Korea, prompting an investigation by a neutral body. The sergeant is the shooter, but the lead investigator, a Swiss-Korean woman, receives differing accounts from the two sides.",,Eight shots! The truth is there.,Released,False,ko,,tt0260991,,/etoPOj0bXzfw0LBNslCxqO7MHuv.jpg,/uiXmFezM5Xg1RWEIRxX8gjIUiWW.jpg,False,False,
437109,The Villainess,The Villainess,악녀,,The Villainess,A young girl is raised as a killer in the Yanbian province of China. She hides her identity and travels to South Korea where she hopes to lead a quiet life but becomes involved with two mysterious men.,,An endless vengeance begins,Released,False,ko,,tt6777338,,/5igv2DsGx1JbmwJnq2uKucJpLOS.jpg,/b3swKWV1wpW6ECUNylJpOpLHClo.jpg,False,False,
11658,Tae Guk Gi: The Brotherhood of War,Tae Guk Gi: The Brotherhood of War,태극기 휘날리며,,Tae Guk Gi: The Brotherhood of War,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",,"One country, one family… divided by war.",Released,False,ko,,tt0386064,,/vyG8qpimh3XSlxc6OmPq8LJRJl.jpg,/dx3c5kdZUNDZujNv2XvHrqR3kMN.jpg,False,False,
263341,"Crouching Tiger, Hidden Dragon: Sword of Destiny","Crouching Tiger, Hidden Dragon: Sword of Destiny","Crouching Tiger, Hidden Dragon: Sword of Destiny",,"Crouching Tiger, Hidden Dragon: Sword of Destiny","A story of lost love, young love, a legendary sword and one last opportunity at redemption.",,The past returns with a vengeance.,Released,False,en,,tt2652118,,/te3aeAyhkfqgpa5BSTq3oNxGqQD.jpg,/k6fkif9weBS3uINEaPiq78cbmPO.jpg,False,False,
470114,24 Hours to Live,24 Hours to Live,24 Hours To Live,,24 Hours to Live,An assassin seeks redemption after being given a second chance at life.,,Contracted to kill. Fighting to survive.,Released,False,en,,tt5442456,,/w0MXP33x1bq48TDC7IaNqQ8nxcc.jpg,/jGjFwizX2YYoUOJkCymlfvS8aGp.jpg,False,False,
496450,"Miraculous: Ladybug & Cat Noir, The Movie","Miraculous: Ladybug & Cat Noir, The Movie",Miraculous - le film,,"Miraculous: Ladybug & Cat Noir, The Movie","A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",,The fate of the world is in their hands.,Released,False,fr,https://www.netflix.com/title/81383247,tt10364034,,/dQNJ8SdCMn3zWwHzzQD2xrphR1X.jpg,/iEFuHjqrE059SmflBva1JzDJutE.jpg,False,False,
726684,Miraculous World: Shanghai – The Legend of Ladydragon,Miraculous World: Shanghai – The Legend of Ladydragon,"Miraculous World : Shanghai, la légende de Ladydragon",,Miraculous World: Shanghai – The Legend of Ladydragon,"On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",,"New city, new challenges.",Released,False,fr,https://www.disneyplus.com/movies/miraculous-world-shanghai-the-legend-of-ladydragon/5gWXe5jNhsjw,tt12816634,,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg,/rlNnwObbMu5G2FaOUlacnUIdIIA.jpg,False,False,
255709,Hope,Hope,소원,,Hope,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",,We won't let her shed tears again.,Released,False,ko,,tt3153634,,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,/l5K9elugftlcyIHHm4nylvsn26X.jpg,False,False,
46528,The Warrior's Way,The Warrior's Way,The Warrior's Way,,The Warrior's Way,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.,,Assassin. Hero. Legend.,Released,False,en,http://www.iamrogue.com/thewarriorsway,tt1032751,,/kfloVZk0uGkSftjD6DI8ZWUsrrI.jpg,/6FhmSHAmSjm5FGpLe2xqAl7ekFP.jpg,False,False,
89708,Samsara,Samsara,Samsara,,Samsara,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",,,Released,False,en,http://barakasamsara.com/,tt0770802,,/qodkea4k0pNUmNTl5TJO2PdTqgW.jpg,/tbSjemOf1nXPOjWELdaeZ7qj1iX.jpg,False,False,
508642,Gonjiam: Haunted Asylum,Gonjiam: Haunted Asylum,곤지암,,Gonjiam: Haunted Asylum,"The crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.",,Experience the horror.,Released,False,ko,,tt8119752,,/KPrZ8lbgbMD7gr1pkMKoNbtcCK.jpg,/cIGKR70sYFEoI5A7bdt821hbrXA.jpg,False,False,
745881,The Medium,The Medium,ร่างทรง,,The Medium,A horrifying story of a shaman’s inheritance in the Isan region of Thailand. But the goddess that appears to have taken possession of a family member turns out not to be as benevolent as it first appears.,,A story about shamanism in Thailand.,Released,False,th,,tt13446168,,/tWoSE8SH6XhgWKHIL3p0sj7lA3V.jpg,/dfpoIYLQuKtJb0vRYfhBhqPTFwj.jpg,False,False,
81481,Silenced,Silenced,도가니,,Silenced,"Based on actual events that took place at Gwangju Inhwa School for the hearing-impaired, where young deaf students were the victims of repeated sexual assaults by faculty members over a period of five years in the early 2000s.",,"The hideous truth, concealed far too long.",Released,False,ko,,tt2070649,,/mbMp0oIFmYnw0i5gzRoKt8cH5ve.jpg,/e5MvOQIIouSgQcBHCMNA6Rsbwnd.jpg,False,False,
390497,Tunnel,Tunnel,터널,,Tunnel,"A man is on his way home when the poorly constructed tunnel he is driving through collapses, leaving him trapped leaving himself for the unexpected whilst emergency services struggle to help.",,"When all collapsed, only hope remained.",Released,False,ko,,tt5910280,,/rpsEci5qoJxUdTHFo5MHwhLDafV.jpg,/iAZKxXcc6Ou2ZNh8VrTz1D1Mtex.jpg,False,False,
293767,Billy Lynn's Long Halftime Walk,Billy Lynn's Long Halftime Walk,Billy Lynn's Long Halftime Walk,,Billy Lynn's Long Halftime Walk,19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks the film shows what really happened to his squad – contrasting the realities of war with America's perceptions.,,"To walk the path of a hero, you have to see how it all began.",Released,False,en,,tt2513074,,/vblJ5cTqZKg3DSyN1z8JxTUyf2Y.jpg,/c6lXmNPzXevQtD7kTabvQIhZ5zH.jpg,False,False,
518068,Along with the Gods: The Last 49 Days,Along with the Gods: The Last 49 Days,신과함께-인과 연,,Along with the Gods: The Last 49 Days,"As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",,Unveiling millennium-old secrets.,Released,False,ko,,tt8116428,,/9BnqBHFGDv3WlCPB2qQwzAWdy7y.jpg,/ul4WiN9EJxsMokdg7z4Y6iisvHS.jpg,False,False,
449985,Triple Threat,Triple Threat,Triple Threat,,Triple Threat,"A crime syndicate places a hit on a billionaire's daughter, making her the target of an elite assassin squad. A small band of down-and-out mercenaries protects her, fighting tooth and nail to stop the assassins from reaching their target.",,Like Expendables without retirees!,Released,False,en,https://www.triplethreatfilm.com,tt6643972,,/cSpM3QxmoSLp4O1WAMQpUDcaB7R.jpg,/2f8fkWSWOVcTlWforoVpsuaCiwI.jpg,False,False,
851644,20th Century Girl,20th Century Girl,20세기 소녀,,20th Century Girl,"Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend, Pung Woon-ho first. However, Bora's clumsy plan unfolds in an unexpected direction. In 1999, a year before the new century, Bora, who turns seventeen, falls into the fever of first love.",,A first love pov story.,Released,False,ko,,tt15340724,,/od22ftNnyag0TTxcnJhlsu3aLoU.jpg,/rl7Jw8PjhSIjArOlDNv0JQPL1ZV.jpg,False,False,
448776,A Prayer Before Dawn,A Prayer Before Dawn,A Prayer Before Dawn,,A Prayer Before Dawn,"The amazing true story of Billy Moore, an English boxer incarcerated in Thailand’s most notorious prison. Thrown into a world of drugs and violence, he finds his best chance to escape is to fight his way out in prison Muay Thai tournaments.",,The fight starts from inside.,Released,False,en,http://prayerbeforedawn.movie,tt4080956,,/toYs3tZrHbSKJS1hmiTY1fJnPjm.jpg,/tyaVwOLIpAzZFP0qmXm2VZhYkxZ.jpg,False,False,
300168,Dragon Blade,Dragon Blade,天將雄師,,Dragon Blade,"Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince. The heroic duo meet in the Western Desert and a thrilling story unfolds.",,When the Eagle meets the Dragon,Released,False,zh,,tt3672840,,/suTAWYLIHAnkH2V4nC8t3AG7HjR.jpg,/rnNkUJlo03a8D0utxiOrADstaMT.jpg,False,False,
513347,Flavors of Youth,Flavors of Youth,肆式青春,,Flavors of Youth,"The rigorous city life of China, while bustling and unforgiving, contains the everlasting memories of days past. Three stories told in three different cities, follow the loss of youth and the daunting realization of adulthood. Though reality may seem ever changing, unchangeable are the short-lived moments of one's childhood days. A plentiful bowl of noodles, the beauty of family and the trials of first love endure the inevitable flow of time, as three different characters explore the strength of bonds and the warmth of cherished memories. Within the disorder of the present world, witness these quaint stories recognize the comfort of the past, and attempt to revive the neglected flavors of youth.",,Three different stories of youth set in different cities of China.,Released,False,zh,https://shikioriori.jp,tt8176578,,/ueHeH5ergeHx27L4SCI9qlmwczA.jpg,/k4qOVgnpAjdtW7DGYOtIcWLzZ9d.jpg,False,False,
11178,My Sassy Girl,My Sassy Girl,엽기적인 그녀,,My Sassy Girl,"A dweeby, mild-mannered man comes to the aid of a drunk young woman on a subway platform. Little does he know how much trouble he’s in for.",,,Released,False,ko,,tt0293715,,/nVVxhtBj4lrq7ieiuXgp07vDv46.jpg,/9l0drjuLhadG6jCzr8AIHSHSuWU.jpg,False,False,
581387,Ashfall,Ashfall,백두산,,Ashfall,A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.,,Only one chance to save the nation.,Released,False,ko,,tt11285908,,/gCZ0RHifBxZGedde7WPWSgjpyZt.jpg,/h9DIlghaiTxbQbt1FIwKNbQvEL.jpg,False,False,
843794,JUNG_E,JUNG_E,정이,,JUNG_E,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.",,AI Combat Warrior Will be Unleashed.,Released,False,ko,https://www.netflix.com/title/81465109,tt22352848,,/z2nfRxZCGFgAnVhb9pZO87TyTX5.jpg,/afsYFdid9pnnRd6tTrHFUbHgXJn.jpg,False,False,
426284,Blade of the Immortal,Blade of the Immortal,無限の住人,,Blade of the Immortal,"Manji, a highly skilled samurai, becomes cursed with immortality after a legendary battle. Haunted by the brutal murder of his sister, Manji knows that only fighting evil will regain his soul. He promises to help a young girl named Rin avenge her parents, who were killed by a group of master swordsmen led by ruthless warrior Anotsu. The mission will change Manji in ways he could never imagine.",,His path is paved in blood.,Released,False,ja,https://www.bladeoftheimmortalfilm.com,tt5084170,,/bFaxg006Dt6J1k7qa7a5YuqbAhe.jpg,/wtzJihFG4aBTat6QG9BoOWud7rG.jpg,False,False,
450001,Master Z: Ip Man Legacy,Master Z: Ip Man Legacy,葉問外傳：張天志,,Master Z: Ip Man Legacy,"Following his defeat by Master Ip, Cheung Tin Chi tries to make a life with his young son in Hong Kong, waiting tables at a bar that caters to expats. But it's not long before the mix of foreigners, money, and triad leaders draw him once again to the fight.",,,Released,False,cn,,tt7262882,,/6VxEvOF7QDovsG6ro9OVyjH07LF.jpg,/zjeGNkEu134qo4DBFZvHi3IRDgg.jpg,False,False,
31967,Dante's Inferno: An Animated Epic,Dante's Inferno: An Animated Epic,Dante's Inferno: An Animated Epic,,Dante's Inferno: An Animated Epic,"Dante journeys through the nine circles of Hell -- limbo, lust, gluttony, greed, anger, heresy, violence, fraud and treachery -- in search of his true love, Beatrice. An animated version of the video game of the same name.",,,Released,False,en,,tt1401113,,/3HEKlPhoji9i6mJAImI1A98KNzv.jpg,/xqWZR7eS5wVBUcwoONQ2PyFFsaL.jpg,False,False,
253450,The Assassin,The Assassin,刺客聶隱娘,,The Assassin,A female assassin receives a dangerous mission to kill a political leader in eighth-century China.,,,Released,False,zh,,tt3508840,,/10RcGMfzg2lIW1aLcR4ILfNbHK2.jpg,/oHX5Abgjy7GLZWJaqQ54p8GsQvl.jpg,False,False,
845222,Kingdom: Ashin of the North,Kingdom: Ashin of the North,킹덤: 아신전,,Kingdom: Ashin of the North,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family.",,And so it begins.,Released,False,ko,https://www.netflix.com/us/title/81312457,tt13412252,,/piGZDwFW4urLYDWGiYJMrt6hdCS.jpg,/pfcj8IYB5bK8RTWiHwOCGfIzVw6.jpg,False,False,
604822,Vanguard,Vanguard,急先锋,,Vanguard,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,,,Released,False,zh,,tt9695722,,/mKvw1Ic9enfFlCPBNJGiejRPMUO.jpg,/fX8e94MEWSuTJExndVYxKsmA4Hw.jpg,False,False,
460648,Bleeding Steel,Bleeding Steel,机器之血,,Bleeding Steel,"Jackie Chan stars as a hardened special forces agent who fights to protect a young woman from a sinister criminal gang. At the same time, he feels a special connection to the young woman, like they met in a different life.",,The Fate of Mankind Lies in the Heart of One,Released,False,zh,,tt5813366,,/vL1KMUr0Jj6kEZ5YPZO7VQBZMLl.jpg,/h3ir8VfpSEtoEBJjEarEludkjKL.jpg,False,False,
241254,The Prince,The Prince,The Prince,,The Prince,A family man who turns out to be a retired mob enforcer must travel across the country to find his daughter who has gone missing.,,Mercy is for the Weak,Released,False,en,,tt1085492,,/22b2fmxhZveWSyWkgUz2y94fp3w.jpg,/axZ5RVlDACxVz7YJE7IE43ABIvw.jpg,False,False,
5488,"I'm a Cyborg, but That's OK","I'm a Cyborg, but That's OK",싸이보그지만 괜찮아,,"I'm a Cyborg, but That's OK","Young-goon, mentally deranged and frequently electro-charging herself with a transistor radio, has been admitted into a mental institution. Firmly believing herself to be a cyborg, she refuses to consume like a human being. Il-soon is another patient, who catches the eye of Young-goon and soon becomes a close friend. Il-soon is now confronted with the biggest task: to cure Young-goon's mental problem and have her eat real food.",,,Released,False,ko,,tt0497137,,/x48ecVD1HbfQh3KZeK6LwRgVrOl.jpg,/eLgZPEG4994T2gjB1YtgQJrp8b3.jpg,False,False,
530254,The Witch: Part 1. The Subversion,The Witch: Part 1. The Subversion,마녀,,The Witch: Part 1. The Subversion,"Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within.",,Everything changed after they appeared.,Released,False,ko,,tt8574252,,/4i2wo2ja5g2PmUxWa1a2eYIboZf.jpg,/rQ7hQ0fXhg6fZAXlRbIvou1QuMX.jpg,False,False,
632322,All My Life,All My Life,All My Life,,All My Life,"It was a chance meeting started by one of Sol’s friends trying to chat up Jennifer. However, in the end, it was those two who hit it off. Sol enjoyed Jen’s smile, her effort, and how silly she could be. Jen enjoyed Sol’s cooking, his athleticism, and that he would join her in fun moments. As you can imagine, love bloomed, and things got serious. Jen’s investment in Sol led to her pushing him to follow his dreams and even move in to save money. Sol’s investment in Jen well, it led to him proposing. But what started as a liver tumor grew into full-on cancer, so with a diagnosis of 6 months to live, Sol and Jennifer try to make the best of it.",,Based on a true love story.,Released,False,en,https://www.allmylifethemovie.com/,tt8305852,,/xoKZ4ZkVApcTaTYlGoZ3J8xcIzG.jpg,/7Gzsn4yiwMSXvYcbWXsoDhq8QO2.jpg,False,False,
57361,The Yellow Sea,The Yellow Sea,황해,,The Yellow Sea,"A Korean man in China takes an assassination job in South Korea to make money and find his missing wife. But when the job is botched, he is forced to go on the run from the police and the gangsters who paid him.",,The only thing he must not have crossed.,Released,False,ko,http://www.hwang-hae.co.kr,tt1230385,,/16Pkg2ChCdACbBKVIAPAZtLL6eb.jpg,/lnxXvGylX41RRTuSXIEM7P0eBYu.jpg,False,False,
289720,Outcast,Outcast,Outcast,,Outcast,"A mysterious warrior teams up with the daughter and son of a deposed Chinese Emperor to defeat their cruel brother, who seeks their deaths.",,To save their souls they must save a kingdom.,Released,False,en,,tt1552224,,/efsgCTlofzIuysfokEp7hwQnUho.jpg,/sETF4vyjb0FonUJVqgrkaPWqiIf.jpg,False,False,
568300,BTS World Tour: Love Yourself in Seoul,BTS World Tour: Love Yourself in Seoul,러브 유어셀프 인 서울,,BTS World Tour: Love Yourself in Seoul,Shot at the Olympic Stadium in Seoul during the BTS World Tour ‘Love Yourself’ to celebrate the seven members of the global boyband and their unprecedented international phenomenon.,,,Released,False,ko,http://loveyourselfinseoul.film/,tt9448868,,/1u0rtWPgYfAWmqveXOsQDvMRODD.jpg,/8GXkzHTvuj3ftethkrqW330LJKz.jpg,False,False,
